iso3,year,literacy_rate
AFE,2024,73.6999969482422
AFE,2023,73.370002746582
AFE,2022,73.0599975585938
AFE,2021,72.7200012207031
AFE,2020,72.9800033569336
AFE,2019,72.8000030517578
AFE,2018,71.6699981689453
AFE,2017,70.879997253418
AFE,2016,70.9599990844727
AFE,2015,70.2399978637695
AFE,2014,69.8300018310547
AFE,2013,69.370002746582
AFE,2012,68.5199966430664
AFE,2011,66.8300018310547
AFE,2010,64.7099990844727
AFE,2009,63.9599990844727
AFE,2008,63.2299995422363
AFE,2007,62.9700012207031
AFE,2006,61.9500007629395
AFE,2005,63.939998626709
AFE,2004,64.5699996948242
AFE,2003,64.3300018310547
AFE,2002,63.8400001525879
AFE,2001,63.1599998474121
AFE,2000,62.6699981689453
AFE,1999,62.1500015258789
AFE,1998,61.2700004577637
AFE,1997,61.060001373291
AFE,1996,60.3600006103516
AFE,1995,59.8699989318848
AFE,1994,59.3400001525879
AFE,1993,58.8800010681152
AFE,1992,58.4599990844727
AFE,1991,58.1800003051758
AFE,1990,58.1500015258789
AFE,1989,57.5999984741211
AFE,1988,57.25
AFE,1987,56.8499984741211
AFW,2024,61.1699981689453
AFW,2023,61.0299987792969
AFW,2022,60.7799987792969
AFW,2021,60.5099983215332
AFW,2020,60.25
AFW,2019,60.1399993896484
AFW,2018,60.3499984741211
AFW,2017,56.8800010681152
AFW,2016,55.8699989318848
AFW,2015,55.4099998474121
AFW,2014,54.5400009155273
AFW,2013,53.8400001525879
AFW,2012,53.0
AFW,2011,52.439998626709
AFW,2010,51.3899993896484
AFW,2009,50.8499984741211
AFW,2008,50.75
AFW,2007,50.2999992370605
AFW,2006,52.2999992370605
AFW,2005,51.6100006103516
AFW,2004,51.4900016784668
AFW,2003,50.1399993896484
AFW,2002,49.560001373291
AFW,2001,48.8199996948242
AFW,2000,47.6199989318848
AFW,1999,51.1500015258789
AFW,1998,50.2900009155273
AFW,1997,48.9099998474121
AFW,1996,47.9000015258789
AFW,1995,47.0400009155273
AFW,1994,46.8600006103516
AFW,1993,45.9799995422363
AFW,1992,45.1399993896484
AFW,1991,44.3499984741211
AFW,1990,43.5400009155273
AFW,1989,42.7599983215332
AFW,1988,41.9599990844727
AFW,1987,41.2799987792969
AFW,1986,40.5099983215332
AFW,1985,40.2299995422363
ARB,2024,78.9899978637695
ARB,2023,78.620002746582
ARB,2022,78.2699966430664
ARB,2021,77.870002746582
ARB,2020,77.5599975585938
ARB,2019,77.1500015258789
ARB,2018,76.9100036621094
ARB,2017,76.5899963378906
ARB,2016,75.9199981689453
ARB,2015,77.1500015258789
ARB,2014,76.3099975585938
ARB,2013,76.2200012207031
ARB,2012,75.1699981689453
ARB,2011,74.2900009155273
ARB,2010,72.5599975585938
ARB,2009,71.9499969482422
ARB,2008,70.9000015258789
ARB,2007,70.0400009155273
ARB,2006,69.2099990844727
ARB,2005,71.4300003051758
ARB,2004,70.8600006103516
ARB,2003,69.9899978637695
ARB,2002,67.2900009155273
ARB,2001,66.25
ARB,2000,65.1600036621094
ARB,1999,64.25
ARB,1998,63.2799987792969
ARB,1997,62.1800003051758
ARB,1996,61.1800003051758
ARB,1995,60.1699981689453
ARB,1994,59.3300018310547
ARB,1993,58.5299987792969
ARB,1992,57.8499984741211
ARB,1991,56.8699989318848
ARB,1990,55.9700012207031
ARB,1989,55.0
ARB,1988,54.0900001525879
ARB,1987,53.1599998474121
ARB,1986,52.4300003051758
ARB,1985,51.689998626709
ARB,1984,50.9500007629395
ARB,1983,50.2000007629395
ARB,1982,50.0900001525879
ARB,1981,49.3800010681152
ARB,1980,48.8499984741211
ARB,1979,48.3199996948242
CSS,2008,91.0199966430664
CSS,2007,90.75
CSS,2006,90.1500015258789
CSS,2005,89.9499969482422
CSS,2004,89.6500015258789
CSS,2003,89.4100036621094
CSS,2002,89.1500015258789
CSS,2001,88.879997253418
CSS,2000,88.620002746582
CSS,1999,88.3399963378906
CSS,1998,88.0500030517578
CSS,1997,87.7600021362305
CSS,1996,87.4700012207031
CSS,1995,87.1699981689453
CSS,1994,86.870002746582
CSS,1993,86.8099975585938
CEB,2024,99.5
CEB,2023,99.4899978637695
CEB,2022,99.4800033569336
CEB,2021,99.4700012207031
CEB,2020,99.4499969482422
CEB,2019,99.4400024414062
CEB,2018,99.4199981689453
CEB,2017,99.370002746582
CEB,2016,99.3499984741211
CEB,2015,99.3300018310547
CEB,2014,99.3099975585938
CEB,1994,98.5699996948242
CEB,1993,98.5199966430664
CEB,1992,98.4700012207031
CEB,1991,98.4199981689453
CEB,1990,98.3600006103516
CEB,1989,98.2900009155273
CEB,1988,98.2300033569336
CEB,1987,98.1500015258789
CEB,1986,98.1100006103516
CEB,1985,98.0800018310547
CEB,1984,98.0500030517578
CEB,1983,98.0100021362305
CEB,1982,97.9899978637695
CEB,1981,97.9700012207031
EAR,2024,82.0999984741211
EAR,2023,81.6800003051758
EAR,2022,81.2399978637695
EAR,2021,80.7099990844727
EAR,2020,80.3000030517578
EAR,2019,79.7900009155273
EAR,2018,79.6800003051758
EAR,2017,79.3300018310547
EAR,2016,79.0800018310547
EAR,2015,78.4100036621094
EAR,2014,77.5
EAR,2013,76.7099990844727
EAR,2012,76.0299987792969
EAR,2011,75.7600021362305
EAR,2010,75.3499984741211
EAR,2009,73.879997253418
EAR,2008,73.129997253418
EAR,2007,72.2799987792969
